label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
/api/v1/sessions,0.00000,0.00000,0.86767,5513904,1,0,0.72559,5192,5192,0.01400,0.80800,1.45200,1.55000,3.07200,7.21600,8.20800,5192
/api/v1/sessions/0,0.00000,0.00000,0.01270,4964356,249,0,0.01064,5182,5182,0.00300,0.00900,0.02500,0.03400,0.05600,0.09200,0.13100,5182
,0.00000,0.00000,0.44060,10478260,1,0,0.66806,10374,10374,0.00300,0.03200,1.35900,1.45200,2.45600,7.11200,8.20800,10374
