label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_500
/api/v1/users,0.00000,0.00000,0.59445,10008999,12,0,0.48896,1287,1287,0.01900,0.55200,1.03600,1.11800,2.09800,4.17600,4.34800,1287,
,0.00000,0.00000,0.55610,18094338,2,5,0.51319,7587,7592,0.00500,0.51800,0.97800,1.05900,2.06200,4.34800,8.34400,7587,5
/api/v1/roles,0.00000,0.00000,0.54227,3592722,1,5,0.51069,2579,2584,0.00700,0.50700,0.96700,1.04300,2.06200,7.22800,8.12000,2579,5
/api/v1/permissions,0.00000,0.00000,0.55755,4131777,2,0,0.54900,2481,2481,0.00700,0.49800,0.97400,1.04900,2.10400,7.24400,8.34400,2481,
/api/v1/roles/1,0.00000,0.00000,0.54221,360840,9,0,0.46442,1240,1240,0.00500,0.52600,0.96000,1.01000,1.98400,3.98200,7.23600,1240,
