label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
/api/v1/branches,0.00000,0.00000,0.01506,705672,248,0,0.01346,4356,4356,0.00400,0.01100,0.02600,0.04100,0.08100,0.10300,0.12200,4356
,0.00000,0.00000,0.27627,5202180,2,0,0.44241,8590,8590,0.00400,0.02500,1.17700,1.30100,1.42600,1.47900,2.32800,8590
/api/v1/sessions,0.00000,0.00000,0.54500,4496508,2,0,0.50447,4234,4234,0.01400,0.39700,1.30300,1.36200,1.45000,1.50100,2.32800,4234
