label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
/api/v1/sessions,0.00000,0.00000,0.01773,264438,249,0,0.00431,249,249,0.01400,0.01700,0.02100,0.02300,0.04100,0.05000,0.05000,249
/api/v1/carts/items,0.00000,0.00000,3.67285,101130,1,0,2.56871,1162,1162,0.01100,3.68800,7.31200,7.73600,8.40000,9.25600,9.31200,1162
,0.00000,0.00000,2.78390,15513601,34,0,2.36273,2533,2533,0.01000,2.40800,6.23600,7.26800,8.24000,9.22400,9.31200,2533
/api/v1/carts,0.00000,0.00000,2.47715,15148033,34,0,1.77714,1122,1122,0.01000,2.32600,5.01600,5.38800,6.02400,6.42400,6.43200,1122
